token,date,time,open,high,low,close
solana,2025-01-02,08:00:00,198.32,206.18,198.32,205.67
solana,2025-01-02,12:00:00,205.91,208.48,205.68,208.25
solana,2025-01-02,16:00:00,208.42,209.18,205.69,206.5
solana,2025-01-02,20:00:00,206.48,208.72,205.12,206.95
solana,2025-01-03,00:00:00,207.05,208.0,205.18,207.88
solana,2025-01-03,04:00:00,207.97,208.08,205.71,207.32
solana,2025-01-03,08:00:00,207.75,209.41,207.04,208.0
solana,2025-01-03,12:00:00,207.84,214.06,207.77,214.06
solana,2025-01-03,16:00:00,214.45,217.99,212.5,217.44
solana,2025-01-03,20:00:00,217.61,219.36,216.71,216.73
solana,2025-01-04,00:00:00,216.26,217.65,215.89,217.65
solana,2025-01-04,04:00:00,217.79,217.79,216.32,216.83
solana,2025-01-04,08:00:00,216.74,217.8,215.83,216.72
solana,2025-01-04,12:00:00,216.63,216.63,214.66,216.28
solana,2025-01-04,16:00:00,216.44,217.18,214.06,214.31
solana,2025-01-04,20:00:00,214.41,215.66,214.05,215.5
solana,2025-01-05,00:00:00,215.58,216.87,215.58,216.68
solana,2025-01-05,04:00:00,216.59,218.36,215.53,218.05
solana,2025-01-05,08:00:00,217.98,218.83,216.27,216.5
solana,2025-01-05,12:00:00,216.43,216.43,213.25,213.8
solana,2025-01-05,16:00:00,213.79,214.37,211.79,213.45
solana,2025-01-05,20:00:00,213.41,214.14,211.92,212.69
solana,2025-01-06,00:00:00,212.76,214.44,212.57,213.45
solana,2025-01-06,04:00:00,213.46,216.5,211.68,215.71
solana,2025-01-06,08:00:00,215.69,216.43,214.13,215.24
solana,2025-01-06,12:00:00,215.16,215.98,213.5,215.98
solana,2025-01-06,16:00:00,216.08,222.17,216.07,221.48
solana,2025-01-06,20:00:00,221.32,222.24,217.75,220.16
dogecoin,2024-12-31,00:00:00,0.319859,0.321922,0.309615,0.313434
dogecoin,2024-12-31,04:00:00,0.313515,0.313665,0.310971,0.311036
dogecoin,2024-12-31,08:00:00,0.311333,0.312087,0.309738,0.311751
dogecoin,2024-12-31,12:00:00,0.311813,0.319467,0.311813,0.319231
dogecoin,2024-12-31,16:00:00,0.319436,0.327735,0.319436,0.327116
dogecoin,2024-12-31,20:00:00,0.326921,0.32697,0.316123,0.318176
dogecoin,2025-01-01,00:00:00,0.318214,0.31836,0.315269,0.316157
dogecoin,2025-01-01,04:00:00,0.315441,0.320739,0.315441,0.318542
dogecoin,2025-01-01,08:00:00,0.318213,0.318214,0.315611,0.316198
dogecoin,2025-01-01,12:00:00,0.315894,0.316203,0.311995,0.315585
dogecoin,2025-01-01,16:00:00,0.315558,0.319231,0.315558,0.319231
dogecoin,2025-01-01,20:00:00,0.319818,0.324994,0.317008,0.324462
dogecoin,2025-01-02,00:00:00,0.324495,0.326546,0.32409,0.32409
dogecoin,2025-01-02,04:00:00,0.324297,0.336254,0.324028,0.331039
dogecoin,2025-01-02,08:00:00,0.331153,0.335307,0.329999,0.333024
dogecoin,2025-01-02,12:00:00,0.333989,0.344016,0.333527,0.34141
dogecoin,2025-01-02,16:00:00,0.341758,0.343627,0.336404,0.337176
dogecoin,2025-01-02,20:00:00,0.336779,0.340242,0.335408,0.339424
dogecoin,2025-01-03,00:00:00,0.339716,0.340082,0.335421,0.339021
dogecoin,2025-01-03,04:00:00,0.339052,0.341655,0.336436,0.341121
dogecoin,2025-01-03,08:00:00,0.341469,0.341469,0.336642,0.336844
dogecoin,2025-01-03,12:00:00,0.336791,0.346324,0.336637,0.346324
dogecoin,2025-01-03,16:00:00,0.348109,0.367449,0.348109,0.366901
dogecoin,2025-01-03,20:00:00,0.36722,0.38148,0.365597,0.378289
dogecoin,2025-01-04,00:00:00,0.377539,0.387899,0.375188,0.379242
dogecoin,2025-01-04,04:00:00,0.379851,0.392129,0.378807,0.392129
dogecoin,2025-01-04,08:00:00,0.391887,0.394012,0.385977,0.388199
dogecoin,2025-01-04,12:00:00,0.387805,0.390136,0.384257,0.390007
dogecoin,2025-01-04,16:00:00,0.390808,0.393657,0.37844,0.379651
dogecoin,2025-01-04,20:00:00,0.37968,0.385048,0.37968,0.384233
dogecoin,2025-01-05,00:00:00,0.384199,0.398059,0.384174,0.394714
dogecoin,2025-01-05,04:00:00,0.394759,0.395778,0.388774,0.388851
dogecoin,2025-01-05,08:00:00,0.388821,0.391392,0.388693,0.389312
dogecoin,2025-01-05,12:00:00,0.389458,0.389458,0.382485,0.383089
dogecoin,2025-01-05,16:00:00,0.382545,0.383971,0.377189,0.383615
dogecoin,2025-01-05,20:00:00,0.383584,0.384618,0.379845,0.381937
dogecoin,2025-01-06,00:00:00,0.382029,0.384561,0.38076,0.382653
dogecoin,2025-01-06,04:00:00,0.382558,0.388223,0.377139,0.385969
dogecoin,2025-01-06,08:00:00,0.385928,0.388275,0.381671,0.383062
